page,page_title,active_visitors
bop.gov/inmateloc/,Inmate Locator,124
ceac.state.gov/iv/login.aspx,Immigrant Visa - Sign In,124
cdc.gov/zika/symptoms/,"Symptoms, Diagnosis, & Treatment | Zika virus | CDC",122
census.gov/cgi-bin/sssd/naics/naicsrch,NAICS Search,122
ceac.state.gov/genniv/general/complete/passport_visa_info.aspx?node=pptvisa,Nonimmigrant Visa - Passport Information,121
eauth.va.gov/wssweb/wss-claims-webparts/mvc/ebn/openclaimsummary,Summary - Claim Status,121
irs.gov/taxtopics/tc203.html,"Tax Topics - Topic 203 Refund Offsets for Unpaid Child Support, Certain Federal and State Debts, and Unemployment Compensation Debts",119
jpl.nasa.gov/visions-of-the-future/,Visions of the Future,119
irs.gov/uac/contact-your-local-irs-office-1,Contact Your Local IRS Office,115
uspto.gov/trademarks-application-process/search-trademark-database,Search Trademark Database | USPTO,115
ceac.state.gov/genniv/general/complete/complete_uscontact.aspx?node=uscontact,Nonimmigrant Visa - U.S. Point of Contact Information,114
irs.gov/help-&-resources,Help and Resources,112
usajobs.gov/account/forgotpassword,USAJOBS - Account Verification,112
ar.usembassy.gov/es/trabaje-con-nosotros/,Â¡Trabaje con nosotros! | Embajada de Estados Unidos en Argentina,108
irs.gov/uac/free-file:-do-your-federal-taxes-for-free,Free File: Do Your Federal Taxes for Free,108
choosemyplate.gov/,Choose MyPlate,106
usajobs.gov/applicant/resume/listresumes/,USAJOBS - Resumes,104
ceac.state.gov/genniv/general/complete/complete_workeducation2.aspx?node=workeducation2,Nonimmigrant Visa - Previous Work/Education/Training Information,103
opm.gov/policy-data-oversight/pay-leave/salaries-wages/2016/general-schedule/,General Schedule,102
whitehouse.gov/,The White House | whitehouse.gov,102
nih.gov/,National Institutes of Health (NIH) | Turning Discovery Into Health,101
ceac.state.gov/genniv/,Nonimmigrant Visa - Instructions Page,99
ceac.state.gov/genniv/general/complete/complete_previousustravel.aspx?node=previousustravel,Nonimmigrant Visa - Previous U.S. Travel Information,99
irs.gov/individuals/online-payment-agreement-application,Apply for an Online Payment Agreement for Individuals and Businesses,98
uscis.gov/i-130,Petition for Alien Relative | USCIS,98
ceac.state.gov/genniv/general/complete/complete_family1.aspx?node=relatives,Nonimmigrant Visa - Family Information: Relatives,97
portal.hud.gov/hudportal/hud?src=/program_offices/public_indian_housing/reac/online,REAC,97
socialsecurity.gov/bso/bsowelcome.htm,Business Services Online,97
spc.noaa.gov/products/watch/ww0026.html,Storm Prediction Center Tornado Watch 26,97
gsaadvantage.gov/advantage/s/search.do?db=0&searchtype=0,Search Results,96
usajobs.gov/search/advancedsearch/,Advanced Search,96
cdc.gov/std/widgets/widget-3b.html,STD Widget 3,95
weather.gov/forecastmaps,National Forecast Maps,94
energy.gov/,Department of Energy,93
spc.noaa.gov/products/md/md0149.html,Storm Prediction Center Mesoscale Discussion 149,93
ssa.gov/retire/estimator.html,Retirement Estimator,93
studentaid.ed.gov/sa/repay-loans/forgiveness-cancellation/public-service,Public Service Loan Forgiveness | Federal Student Aid,93
usajobs.gov/applicant/myaccount/inbox/,USAJOBS - Inbox,93
cdc.gov/healthyweight/assessing/bmi/adult_bmi/english_bmi_calculator/bmi_calculator.html,Adult BMI Calculator | Healthy Weight | DNPAO | CDC,91
ceac.state.gov/genniv/common/recovery.aspx,Nonimmigrant Visa - Recover Your Application,91
irs.gov/uac/newsroom/2016-standard-mileage-rates-for-business-medical-and-moving-announced,"2016 Standard Mileage Rates for Business, Medical and Moving Announced",91
studentaid.ed.gov/sa/repay-loans/understand/plans/income-driven,Income-Driven Plans | Federal Student Aid,91
spc.noaa.gov/products/watch/,Storm Prediction Center - Current Convective Watches,90
consumerfinance.gov/find-a-housing-counselor/,Find a housing counselor > Consumer Financial Protection Bureau,89
apps.irs.gov/app/scripts/exit.jsp?dest=https://turbotax.intuit.com/taxfreedom/,IRS Disclaimer,88
spc.noaa.gov/climo/reports/160224_rpts.html,Storm Prediction Center Today's Storm Reports,88
cpol.army.mil/,Civilian Personnel On Line Homepage | cpol.army.mil,87
defense.gov/,United States Department of Defense,87
li-public.fmcsa.dot.gov/liview/pkg_carrquery.prc_carrlist,Carrier Search,87
fbo.gov/index?s=opportunity&mode=list&tab=list,Opportunities - Federal Business Opportunities: Opportunities,86
li-public.fmcsa.dot.gov/liview/pkg_carrquery.prc_getdetail,Motor Carrier Details,86
nasa.gov/feature/jpl/pulsar-web-could-detect-low-frequency-gravitational-waves/,Pulsar Web Could Detect Low-Frequency Gravitational Waves | NASA,86
cdc.gov/zika/,Zika Virus | CDC,83
spc.noaa.gov/products/,Storm Prediction Center Forecast Products,83
usajobs.gov/applicant/myaccount/home/,My Account - Home,83
weather.gov/dtx/,"Detroit/Pontiac, MI",83
spc.noaa.gov/products/md/md0148.html,Storm Prediction Center Mesoscale Discussion 148,82
ceac.state.gov/genniv/general/review/review_reviewpersonal.aspx?node=reviewpersonal,"Non-Immigrant Visa - Review Personal, Address, Phone, and Passport Information",80
weather.gov/iwx/,Northern Indiana,80
apps.irs.gov/app/picklist/list/formspublications.html,Forms and Publications (PDF),79
smclinician.myhealth.va.gov/mhv-sm-web/leftnav.action,My HealtheVet - Secure Messaging - Inbox,79
irs.gov/uac/irs-privacy-policy,IRS Privacy Policy,78
travel.state.gov/content/passports/en/passports/first-time.html,First Time Applicants,77
travel.state.gov/content/passports/en/passports/information/where-to-apply.html,Where to Apply,77
weather.gov/ilx/,Central Illinois,76
cbp.gov/careers/apply-now,Current Openings | U.S. Customs and Border Protection,75
ftc.gov/tips-advice/business-center/privacy-and-security/children's-privacy,Children's Privacy | Federal Trade Commission,75
spc.noaa.gov/products/wwa/,"NWS - Watch, Warning, Advisory Display",75
weather.gov/ind/,"Indianapolis, IN",75
studentaid.ed.gov/sa/fafsa,FAFSA: Applying for Aid | Federal Student Aid,74
cdc.gov/zika/pregnancy/question-answers.html,Question and Answers: Zika virus infection (Zika) and pregnancy | Zika virus | CDC,73
ceac.state.gov/genniv/general/esign/signtheapplication.aspx?node=signcertify,Nonimmigrant Visa - E-Signature and Certification,73
e-verify.uscis.gov/emp/verify.aspx,E-Verify - Initial Verification - Select Citizenship Status,73
espanol.cdc.gov/enes/flu/takingcare.htm,La influenza: Lo que debe hacer en caso de enfermarse | Influenza estacional | CDC,73
irs.gov/uac/about-form-1040,"Form 1040, U.S. Individual Income Tax Return",73
irs.gov/uac/about-form-w9,"Form W-9, Request for Taxpayer Identification Number (TIN) and Certification",73
ssa.gov/agency/contact/phone.html,Contact Social Security By Phone,73
uscis.gov/i-765,Application for Employment Authorization | USCIS,73
uspto.gov/patents-application-process/search-patents,Search for Patents | USPTO,73
weather.gov/alerts,Active Alerts,73
cdc.gov/zika/geo/,Areas with Zika | Zika virus | CDC,72
tsa.gov/travel/security-screening/prohibited-items,Prohibited Items | Transportation Security Administration,72
ceac.state.gov/genniv/general/complete/complete_personalcont.aspx?node=personal2,Nonimmigrant Visa - Personal Information 2,71
cdc.gov/flu/consumer/symptoms.htm,Flu Symptoms & Severity | Seasonal Influenza (Flu) | CDC,70
ceac.state.gov/genniv/common/confirmapplicationid.aspx?node=securequestion,Consular Electronic Application Center - Confirm Application ID Page,70
uspto.gov/trademark,Trademarks | USPTO,70
eauth.va.gov/wssweb/wss-common-webparts/mvc/viewmydashboard,Your Dashboard - eBenefits,69
egov.uscis.gov/casestatus/mycasestatus.do,myUSCIS,69
spc.noaa.gov/products/watch/ww0027.html,Storm Prediction Center Tornado Watch 27,69
ssa.gov/bso/bsowelcome.htm,Business Services Online,69
uspto.gov/learning-and-resources/portal-applications,Portal Applications | USPTO,69
weather.gov/iln/,"Wilmington, OH",69
gsa.gov/portal/content/104877,Per Diem Rates,68
portal.hud.gov/hudportal/hud,HUD/U.S.,68
eauth.va.gov/wssweb/wss-common-webparts/mvc/ebn/rateddisabilities,Disabilities,67
flu.gov/symptoms-treatment/,Symptoms & Treatment | Flu.gov,67
irs.gov/individuals/irs-withholding-calculator,IRS Withholding Calculator,67
irs.gov/refunds/,"Where's My Refund? - It's Quick, Easy and Secure.",67
weather.gov/ctp/,"State College, PA",67
faa.gov/,Federal Aviation Administration,66
faq.ssa.gov/ics/support/kbanswer.asp?questionid=3755,Selected Topic,66
regulations.gov/,Regulations.gov,66
ssa.gov/disabilityssi/apply.html,Apply Online for Disability Benefits,66
ceac.state.gov/genniv/general/photo/photo_uploadthephoto.aspx?node=uploadphoto,Nonimmigrant Visa - Upload Photo,65
choosemyplate.gov/grains,All about the Grains Group | Choose MyPlate,65
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 35.82Â°N and Longitude 78.65Â°W (Elev. 262 ft),65
mobile.weather.gov/,NWS Mobile Weather,65
cdc.gov/zika/geo/index.html,Areas with Zika | Zika virus | CDC,64
usajobs.gov/applicant/document/listdocuments/,My Account - Saved Documents,64
uspto.gov/patents-application-process/checking-application-status/check-filing-status-your-patent-application,Check the Filing Status of Your Patent Application | USPTO,64
cdc.gov/std/chlamydia/stdfact-chlamydia.htm,STD Facts - Chlamydia,63
eauth.va.gov/wssweb/wss-common-webparts/mvc/ebn/paymenthistorysummary,Payment History,63
opm.gov/,OPM.gov,63
teas.uspto.gov/forms/teas.service,"Trademark/Service Mark Application, Principal Register",63
usajobs.gov/applicant/savedjobs/listsavedjobs/,USAJOBS - Saved Jobs,63
weather.gov/cle/,"Cleveland, OH",63
apps.irs.gov/app/freefile/jsp/index.jsp?ck=,Free File: I Will Choose A Free File Software,62
cdc.gov/std/hpv/stdfact-hpv.htm,STD Facts - Human papillomavirus (HPV),62
travel.state.gov/content/visas/en/law-and-policy/bulletin/2016/visa-bulletin-for-march-2016.html,Visa Bulletin For March 2016,62
uscis.gov/forms,Forms | USCIS,62
uscis.gov/i-90,Application to Replace Permanent Resident Card | USCIS,62
bop.gov/mobile/find_inmate/byname.jsp,BOP: Federal Inmates By Name,61
nps.gov/features/yell/webcam/oldfaithfulstreaming.html,National Park Service Webcam,61
spc.noaa.gov/products/outlook/pwo.html,Storm Prediction Center Public Severe Weather Outlook (PWO),61
ssa.gov/ssnumber/ss5doc.htm,Learn what documents you need to get a Social Security Card,61
usitc.gov/tata/hts/bychapter/index.htm,2015 HTSA Revision 2 Edition | USITC,61
archives.gov/exhibits/charters/declaration_transcript.html,Declaration of Independence - Text Transcript,60
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 38.89Â°N and Longitude 77.02Â°W (Elev. 20 ft),60
irs.gov/filing/individuals/amended-returns-(form-1040-x)/wheres-my-amended-return-1,Where's My Amended Return?,60
spc.noaa.gov/products/md/md0145.html,Storm Prediction Center Mesoscale Discussion 145,60
ssa.gov/disabilityssi/,Social Security Disability Benefits - Online Application Information,60
travel.state.gov/content/passports/en/passports/under-16.html,Passports for Minors Under 16,60
treasury.gov/tigta/contact_report_scam.shtml,Contact: IRS Impersonation Scam Reporting - U.S. Treasury Inspector General for Tax Administration (TIGTA),59
usa.gov/unclaimed-money,Unclaimed Money from the Government | USA.gov,59
apps.irs.gov/app/scripts/exit.jsp?dest=http://www.hrblock.com/ffa/index.html?otppartnerid=180,IRS Disclaimer,58
apps.irs.gov/app/stdc/stdc.html,2015 Sales Tax Deduction Calculator,58
cdc.gov/zika/disease-qa.html,Zika virus Disease Q & A | Zika virus | CDC,58
cdc.gov/zika/geo/united-states.html,Zika virus in the United States | Zika virus | CDC,58
egov.uscis.gov/casestatus/logoff.do,myUSCIS - Case Status Search,58
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 37.54Â°N and Longitude 77.45Â°W (Elev. 128 ft),58
socialsecurity.gov/medicare/apply.html,Medicare Benefits - How to Apply Online Even if You Are not Ready to Retire,58
ssa.gov/agency/contact/,Contact Social Security,58
usa.gov/,U.S. Government's Official Web Portal | USA.gov,58
weather.gov/grr/,"Grand Rapids, MI",57
choosemyplate.gov/tools-supertracker,SuperTracker | Choose MyPlate,56
my.usajobs.gov/applicant/application/listapplications/,USAJOBS - Application Status,56
socialsecurity.gov/forms/apply-for-benefits.html,Apply for Social Security Benefits,56
studentaid.ed.gov/sa/repay-loans/forgiveness-cancellation,"Forgiveness, Cancellation, and Discharge | Federal Student Aid",56
studentaid.ed.gov/sa/resources/loan-grant-fact-sheets,Loan and Grant Fact Sheets | Federal Student Aid,56
cpsc.gov/en/recalls/2016/englands-stove-works-recalls-to-repair-freestanding-pellet-stoves/,Englandâ€™s Stove Works Recalls to Repair Freestanding Pellet Stoves Due to Laceration Hazard | CPSC.gov,55
eol.jsc.nasa.gov/hdev/,HDEV,55
petitions.whitehouse.gov/thank-you/2202961,Thank You | We the People: Your Voice in Our Government,55
treasury.gov/resource-center/data-chart-center/interest-rates/pages/textview.aspx?data=yield,Daily Treasury Yield Curve Rates,55
weather.gov/box/,"Boston, MA",55
cbp.gov/travel/trusted-traveler-programs/global-entry,Global Entry | U.S. Customs and Border Protection,54
li-public.fmcsa.dot.gov/liview/pkg_carrquery.prc_carrlist,Licensing & Insurance Carrier Search,54
nasa.gov/launchschedule/,NASA Launch Schedule,54
apps.irs.gov/app/withholdingcalculator/index3.jsp,2016 Withholding Calculator,53
justice.gov/,U.S. Department of Justice,53
myhealth.va.gov/mhv-portal-web/anonymous.portal?_nfpb=true&_pagelabel=mhvhome,My HealtheVet,53
socialsecurity.gov/ssnumber/,New or Replacement Social Security Number and Card,53
spc.noaa.gov/climo/reports/160223_rpts.html,Storm Prediction Center 160223's Storm Reports,53
gsa.gov/portal/content/101518,FY 2016 Meals and Incidental Expenses (M&IE) Breakdown,52
irs.gov/for-tax-pros,Tax Professionals,52
irs.gov/uac/pay-taxes-by-credit-or-debit-card,Pay your Taxes by Debit or Credit Card,52
nasa.gov/press-release/one-year-crew-returns-from-space-station-march-1-live-coverage-on-nasa-tv/,NASA TV to Air Return of Space Station One-Year Crew on March 1 | NASA,52
travel.state.gov/content/visas/en/forms/ds-160--online-nonimmigrant-visa-application/frequently-asked-questions.html,DS-160: Frequently Asked Questions,52
uscis.gov/file-online/file-form-i-90-online,File the Form I-90 Online | USCIS,52
weather.gov/mkx/,"Milwaukee/Sullivan, WI",52
fbo.gov/index,Home - Federal Business Opportunities: Home,51
gsa.gov/portal/category/100000,GSA Home,51
tsa.gov/travel/security-screening/liquids-rule,Liquids Rule | Transportation Security Administration,51
usgs.gov/,Welcome to the USGS - U.S. Geological Survey,51
apps.irs.gov/app/picklist/list/formspublications.html?value=1040&criteria=formnumber&submitsearch=find,Forms and Publications (PDF),50
benefits.va.gov/compensation/resources_comp01.asp,Veterans Compensation Benefits Rate Tables - Effective 12/1/14 - Compensation,50
cbp.gov/travel/international-visitors/i-94-instructions,Arrival/Departure Forms: I-94 and I-94W | U.S. Customs and Border Protection,50
faq.ssa.gov/link/portal/34011/34019/article/3706/how-can-i-get-a-form-ssa-1099-1042s-social-security-benefit-statement,"How can I get a form SSA-1099/1042S, Social Security Benefit Statement?",50
irs.gov/individuals/payment-plans-installment-agreements,"Payment Plans, Installment Agreements",50
irs.gov/uac/irs2goapp,IRS2Go Mobile App,50
socialsecurity.gov/retire/estimator.html,Retirement Estimator,50
spc.noaa.gov/climo/online/,Storm Prediction Center Severe Weather Summaries,50
uscis.gov/i-864,Affidavit of Support Under Section 213A of the Act | USCIS,50
weather.gov/mhx/,"Newport/Morehead, NC",50
weather.gov/okx/,"New York, NY",50
weather.gov/rnk/,"Blacksburg, VA",50
dol.gov/,United States Department of Labor,49
fda.gov/,U S Food and Drug Administration Home Page,49
my.usajobs.gov/account/resetpasswordsuccess/,USAJOBS - Reset Password Confirmation,49
quickfacts.census.gov/cgi-bin/qfd/lookup,QuickFacts: Locate a county by place name,49
ssa.gov/onlineservices/,What You Can Do Online,49
travel.state.gov/content/passports/en/passports/photos/photos.html,Photo Requirements,49
travel.state.gov/content/visas/en/general/photos.html,Photo Requirements,49
archives.gov/veterans/military-service-records/,Start Your Military Service Record (DD Form 214) Request,48
consumer.ftc.gov/articles/0155-free-credit-reports,Free Credit Reports | Consumer Information,48
data.bls.gov/search/query/results?cx=013738036195919377644:6ih0hfrgl50,BLS Search Results,48
earthexplorer.usgs.gov/,EarthExplorer,48
irs.gov/affordable-care-act/questions-and-answers-about-health-care-information-forms-for-individuals,"Questions and Answers about Health Care Information Forms for Individuals (Forms 1095-A, 1095-B, and 1095-C)",48
irs.gov/taxtopics/tc201.html,Tax Topics - Topic 201 The Collection Process,48
sam.gov/https://www.sam.gov/portal/sam/,System for Award Management,48
sm.myhealth.va.gov/mhv-sm-web/compose.action,My HealtheVet - Secure Messaging - Create New Message,48
studentaid.ed.gov/sa/repay-loans/consolidation,Loan Consolidation | Federal Student Aid,48
tsa.gov/tsa-precheck,TSA Preâœ“Â® | Transportation Security Administration,48
apps.irs.gov/app/withholdingcalculator/index5.jsp,2016 Withholding Calculator,47
cbp.gov/,U.S. Customs and Border Protection | Securing America's Borders,47
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 38.38Â°N and Longitude 75.6Â°W (Elev. 16 ft),47
fsis.usda.gov/wps/portal/fsis/home,USDA Food Safety and Inspection Service,47
identitytheft.gov/,Identity Theft Recovery Steps | IdentityTheft.gov,47
irs.gov/businesses/small-businesses-&-self-employed/employer-id-numbers-eins,Employer ID Numbers,47
nasa.gov/multimedia/nasatv/index.html,NASA Television | NASA,47
ssa.gov/planners/benefitcalculators.html,Calculators,47
travel.state.gov/content/passports/en/passports/information/processing-times.html,Processing Times,47
uscis.gov/e-verify,E-Verify | USCIS,47
whitehouse.gov/contact,Submit Your Comments and Questions Online | whitehouse.gov,47
archives.gov/exhibits/charters/constitution_transcript.html,Transcript of the Constitution of the United States - Official Text,46
cbp.gov/travel/trusted-traveler-programs/global-entry/how-apply,How to Apply for Global Entry | U.S. Customs and Border Protection,46
irs.gov/uac/about-form-1040ez,"Form 1040EZ, Income Tax Return for Single and Joint Filers With No Dependents",46
myhealth.va.gov/mhv-portal-web/mhv.portal?_nfpb=true&_pagelabel=refillprescriptions,My HealtheVet,46
spc.noaa.gov/climo/reports/yesterday.html,Storm Prediction Center Yesterday's Storm Reports,46
ssa.gov/medicare/apply.html,Medicare Benefits - How to Apply Online Even if You Are not Ready to Retire,46
ssa.gov/retire/apply.html,How to Apply Online For Social Security Retirement Benefits,46
uscis.gov/citizenship/learners/apply-citizenship,Apply for Citizenship | USCIS,46
apps.irs.gov/app/scripts/exit.jsp?dest=tel:800-829-1040,IRS Disclaimer,45
cdc.gov/std/herpes/stdfact-herpes.htm,STD Facts - Genital Herpes,45
cdc.gov/std/spanish/vph/stdfact-hpv-s.htm,InfecciÃ_n genital por VPH - Enfermedades de transmisiÃ_n sexual,45
nlm.nih.gov/medlineplus/spanish/sexuallytransmitteddiseases.html,Enfermedades de transmisiÃ_n sexual: MedlinePlus en espaÃ±ol,45
weather.gov/ilm/,"NWS Wilmington, NC",45
cdc.gov/zika/symptoms/index.html,"Symptoms, Diagnosis, & Treatment | Zika virus | CDC",44
osha.gov/,Occupational Safety and Health Administration - Home,44
spc.noaa.gov/products/md/,Storm Prediction Center - Current Mesoscale Discussions,44
uscis.gov/i-485,Application to Register Permanent Residence or Adjust Status | USCIS,44
whitehouse.gov/blog/2016/02/22/meet-106-year-old-who-got-dance-president-and-first-lady,Meet the 106 Year Old Who Got to Dance with the President and the First Lady | whitehouse.gov,44
bls.gov/,U.S. Bureau of Labor Statistics,43
fbo.gov/,Home - Federal Business Opportunities: Home,43
ftc.gov/,Federal Trade Commission | Protecting America's Consumers,43
irs.gov/uac/about-form-1099misc,"Form 1099-MISC, Miscellaneous Income",43
tsa.gov/,Transportation Security Administration,43
uscis.gov/about-us/contact-us,Contact Us | USCIS,43
uscis.gov/i-9,Employment Eligibility Verification | USCIS,43
whitehouse.gov/administration/cabinet,The Cabinet | whitehouse.gov,43
ceac.state.gov/genniv/general/complete/complete_travelcompanions.aspx?node=travelcompanions,Nonimmigrant Visa - Travel Companions Information,42
ceac.state.gov/iv/ivsummary.aspx,Immigrant Visa - Summary Information,42
earthquake.usgs.gov/earthquakes/eventpage/ci37528064,"M4.9 - 6km SSW of Wasco, California",42
irs.gov/payments/finding-out-how-much-you-owe,Finding Out How Much You Owe,42
irs.gov/uac/interactive-tax-assistant-(ita)-1,Interactive Tax Assistant (ITA),42
travel.state.gov/content/visas/en/visit/visitor.html,Visitor Visa,42
cdc.gov/std/spanish/sifilis/stdfact-syphilis-s.htm,SÃ_filis - Enfermedades de transmisiÃ_n sexual,41
cdc.gov/zika/geo/active-countries.html,Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC,41
nccd.cdc.gov/dnpabmi/calculator.aspx,Body Mass Index BMI (BMI) Percentile Calculator for Child and Teen | DNPAO | CDC,41
nicsezcheckfbi.gov/,FBI NICS E-Check System - Welcome Page,41
socialsecurity.gov/disabilityssi/apply.html,Apply Online for Disability Benefits,41
ssai.usajobs.gov/,USAJOBS - The Federal Governmentâ€™s Official Jobs Site,41
usembassy.gov/,Home | USEmbassy.gov,41
www3.epa.gov/,US Environmental Protection Agency,41
cdc.gov/flu/about/disease/symptoms.htm,Flu Symptoms & Severity | Seasonal Influenza (Flu) | CDC,40
census.gov/,Census.gov,40
